Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"SA1-2-3.mzML"	2012-10-26T13:37:56Z	0.159795	15.7478	21.0873	31.8944	1.12446	1.31193	5.72923	7199.07	0.14671	0.0979344	0.375637	0.379718	0.224342	0.258089	0.289368	0.228201	0.274163	0.236111	0.197599	0.292127	1.07622	0.928315	4.91719	0.426878	0.711473	2.02434	6199	1.20972	2440	3082	5641	21415	4.55835	243	459	724.5	4.66962e-05	0.597058	0.344712	0.0464161	0.00901237	0.00275508	0	0
"SA1-2-6.mzML"	2012-10-26T20:12:47Z	0.16982	17.4648	23.0612	32.6196	0.987245	0.997791	4.68552	7199.92	0.510993	0.105187	0.135697	0.248123	0.224227	0.266902	0.262833	0.246037	0.28786	0.223998	0.223743	0.264399	1.18715	0.906556	2.78753	3.26985	0.634465	0.708994	6031	1.18151	2869	3324	4030	24261	4.51445	181	296	467	0	0.408763	0.474135	0.0954619	0.0170232	0.00461646	0	0
"SA1-2-5.mzML"	2012-10-26T18:01:06Z	0.159634	31.3	38.4372	45.2732	0.954869	0.960876	3.48431	7199.68	0.339477	0.115938	0.153975	0.39061	0.227679	0.251486	0.279043	0.241792	0.285234	0.241109	0.19545	0.278207	1.1425	0.875961	3.68626	1.38113	0.721162	0.601263	5977	1.19072	2837	3362	4329	24506	4.89774	197	326	533.75	0	0.454909	0.433731	0.0814086	0.0211377	0.00881417	0	0
"SA2-1-1.mzML"	2012-10-27T07:11:01Z	0.170711	8.0388	10.3922	16.1609	0.921265	1.15232	7.48933	7199.18	0.119782	0.274579	0.358187	0.247452	0.249029	0.240929	0.270945	0.239097	0.244302	0.306248	0.157518	0.291932	0.935049	0.900246	3.80433	0.44789	0.52933	3.04835	7549	1.2075	1960	2281	2919	13104	3.60881	193	366	564	7.63126e-05	0.563187	0.37355	0.0481532	0.0105311	0.00442613	0	7.63126e-05
"SA1-2-7.mzML"	2012-10-26T22:24:30Z	0.168804	24.2797	31.9213	40.4342	1.196	1.00339	3.52529	7199.59	0.374273	0.123316	0.236357	0.266054	0.229397	0.270619	0.267772	0.232213	0.279804	0.217142	0.209046	0.294008	1.27734	1.06505	3.353	0.858482	0.670177	0.969514	5933	1.19627	2649	3232	3821	24792	4.55959	191	314	510	0	0.435463	0.478904	0.0760326	0.0078251	0.00177477	0	0
"SA1-2-8.mzML"	2012-10-27T00:36:06Z	0.165606	19.2981	25.622	35.4747	1.01069	1.09929	4.1414	7199.67	0.262772	0.129158	0.212675	0.395396	0.227636	0.26568	0.275149	0.231535	0.280762	0.221612	0.202768	0.294858	1.225	0.936969	3.35094	1.09172	0.596773	0.85503	6070	1.1944	2677.5	3154	3967	23574	4.90849	180	306	515	0	0.439382	0.442649	0.0808518	0.0258335	0.0112836	0	0
"SA2-1-10.mzML"	2012-10-28T22:40:54Z	0.170096	12.2486	15.838	23.8678	1.37869	1.37751	5.17927	7199.72	0.162535	0.0815809	0.305067	0.450817	0.230973	0.266906	0.285496	0.216626	0.264054	0.208972	0.204094	0.32288	1.13234	0.999364	4.48862	0.549428	0.780189	2.14001	6486	1.19911	2282	2795	3553.75	19295	3.96311	205	354	577	0	0.53703	0.397771	0.0484063	0.00891423	0.00787769	0	0
"SA2-1-10_121029005231.mzML"	2012-10-29T00:52:30Z	0.167724	12.127	15.711	23.948	1.31798	1.38305	5.16686	7199.8	0.159925	0.0785693	0.278193	0.483313	0.235801	0.268377	0.282981	0.21284	0.259593	0.203333	0.204667	0.332408	1.11998	1.00204	4.52648	0.569184	0.816773	2.09062	6600	1.20265	2258	2765	3495	18924	3.86654	208	358	578	5.2843e-05	0.545551	0.388449	0.048457	0.00882477	0.00866624	0	0
"SA2-1-1_121027092244.mzML"	2012-10-27T09:22:44Z	0.143504	12.5828	16.6362	27.783	0.951771	1.24034	6.80351	7199.11	0.122466	0.266178	0.366205	0.245151	0.250085	0.23986	0.268754	0.241301	0.225786	0.324861	0.154696	0.294657	0.845053	0.884737	6.00251	0.494088	0.548	2.82613	7720	1.20797	1999	2260.5	2960.25	12815	4.99491	191	381	615	7.80336e-05	0.591494	0.348264	0.046586	0.00998829	0.00351151	0	7.80336e-05
"SA2-1-2.mzML"	2012-10-27T11:34:15Z	0.137809	18.3945	25.4683	35.1234	1.03787	1.26318	6.13898	7199.42	0.123744	0.143172	0.482042	0.251042	0.256419	0.250079	0.262158	0.231344	0.217185	0.224553	0.23207	0.326192	0.895525	0.909355	5.86886	0.406634	0.70033	2.58885	7517	1.20972	2082	2371	2990	14375	3.96103	188	357	594	6.95652e-05	0.613774	0.336696	0.0384696	0.00834783	0.00264348	0	0
"SA1-2-9.mzML"	2012-10-27T02:47:46Z	0.154153	18.3827	25.1434	34.9732	1.11959	1.08858	4.33774	7200.23	0.218263	0.13529	0.230854	0.415593	0.226493	0.251234	0.287553	0.234721	0.257843	0.229789	0.198272	0.314096	1.17401	0.980207	3.73501	1.07035	0.700591	1.13369	6099	1.20008	2650.5	3159	4271	23334	4.8551	200	353	598	4.28559e-05	0.469787	0.436273	0.0659553	0.0176566	0.0102854	0	0
"SA2-1-2_121027134554.mzML"	2012-10-27T13:45:53Z	0.142461	15.7298	20.6009	31.5765	0.954283	1.28031	6.44232	7199.26	0.125236	0.19088	0.432689	0.251194	0.258951	0.249558	0.260541	0.23095	0.209584	0.217987	0.237683	0.334746	0.908462	0.877159	5.79359	0.371004	0.689043	2.58001	7507	1.20259	2097	2388	3042	14411	4.85762	181	351	592	0.000138783	0.616612	0.332107	0.0385816	0.00915967	0.00340018	0	0
"SA2-1-3.mzML"	2012-10-27T15:57:36Z	0.137223	29.5277	36.543	42.9623	1.08226	1.16227	5.11739	7199.32	0.165551	0.15538	0.327133	0.351936	0.251675	0.261619	0.265039	0.221667	0.232242	0.215609	0.213594	0.338555	0.981377	0.909661	5.29022	0.501934	0.92677	1.86091	7045	1.20453	2415	2838	4135	18306	4.77867	189	353	596	5.46269e-05	0.591664	0.342729	0.05124	0.0108161	0.00349612	0	0
"SA2-1-4.mzML"	2012-10-27T20:20:53Z	0.153016	33.2992	39.0863	44.5467	0.893215	0.97761	4.31762	7199.4	0.231026	0.178029	0.297741	0.293205	0.260546	0.267349	0.252223	0.219882	0.240772	0.201772	0.186207	0.371249	1.05308	0.855833	4.48428	0.837787	0.659425	1.14867	6899	1.21219	2221	2793	3359.5	19828	4.67144	176	299	513	5.04337e-05	0.543625	0.361459	0.0657152	0.0195683	0.00958241	0	0
"SA2-1-3_121027180915.mzML"	2012-10-27T18:09:15Z	0.147272	17.0213	23.0424	32.951	1.16852	1.15562	5.59897	7199.09	0.145073	0.17744	0.339442	0.338045	0.249772	0.264916	0.263993	0.221319	0.236748	0.216299	0.214794	0.332159	1.09988	1.10185	5.09634	0.549324	0.981976	1.94474	7025	1.20306	2344	2704	4087	17763	4.44183	189	352	576	5.62968e-05	0.589878	0.345493	0.0503856	0.0107527	0.0034341	0	0
"SA2-1-4_121027223233.mzML"	2012-10-27T22:32:32Z	0.156082	26.3406	33.0795	40.4044	1.05878	1.17352	4.55866	7200.41	0.237244	0.235614	0.248705	0.278437	0.251341	0.273128	0.25576	0.219771	0.244566	0.201145	0.185665	0.368623	1.08287	0.932292	4.49266	0.741194	0.62704	1.3176	6908	1.21157	2225.5	2785	3328	19477	4.64055	182	311	539	0	0.535401	0.368743	0.0657699	0.0201263	0.00996047	0	0
"SA2-1-5.mzML"	2012-10-28T00:44:10Z	0.161303	26.4268	33.7565	41.8012	1.0786	1.05814	3.55717	7199.48	0.301766	0.137379	0.179902	0.380953	0.238303	0.259506	0.27152	0.230671	0.275814	0.22417	0.198195	0.30182	1.2299	1.16745	3.77993	1.26033	0.600883	0.808122	6200	1.2042	2757	3275	4096.25	23211	4.74399	194	324	543	0	0.455129	0.433114	0.0795743	0.0222739	0.00990909	0	0
"SA2-1-5_121028025550.mzML"	2012-10-28T02:55:50Z	0.158424	28.2134	35.8017	43.4556	1.05133	0.942193	3.41738	7199.58	0.296698	0.136734	0.181728	0.384841	0.238337	0.261452	0.268648	0.231563	0.272389	0.226209	0.201041	0.30036	1.21402	1.03703	3.85151	1.19785	0.617932	0.842475	6183	1.19284	2786	3294	4210	23475	4.64501	193	321	533	0	0.452737	0.434803	0.0794888	0.0224068	0.0105644	0	0
"SW1-1-1.mzML"	2012-10-29T12:24:30Z	0.125117	16.8556	25.3557	36.4101	1.29918	1.54489	5.86717	7199.64	0.125921	0.349019	0.280134	0.244926	0.263069	0.24279	0.24734	0.2468	0.149425	0.302451	0.282072	0.266052	0.819295	0.713037	3.65357	0.234818	0.493991	2.84172	8276	1.20674	1839.75	2071	2406.25	7473	4.71545	170	289	492	0.000133815	0.681654	0.300281	0.0145858	0.00120434	0.00200723	0.000133815	0
