Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"Liver_12.raw"	2018-03-22T22:49:41Z	0.297669	8.12099	9.09819	11.1934	1.09331	1.46477	5.02243	1799.74	0.620938	0.177106	0.0979687	0.103988	0.529281	0.257884	0.106247	0.106588	0.195637	0.19514	0.287704	0.32152	1.16337	0.999477	3.24154	0.936112	0.160833	2.46903	6184	8.18204	849.75	1313	1372.25	2832	2.98847	5	12	27	0	0	0	0	0	0	0.857345	0.142655
"Liver_13.raw"	2018-03-23T07:55:44Z	0.293128	8.253	9.37218	11.2062	0.958348	1.34862	3.84051	1799.73	0.735144	0.0693016	0.096125	0.0994298	0.530284	0.257146	0.10609	0.10648	0.19718	0.19604	0.285758	0.321022	1.21294	0.971017	2.90077	1.01028	0.148574	2.24424	6191	8.19353	852	1316	1374	2852	2.98214	4	12	25	0	0	0	0	0	0	0.882539	0.117461
"Liver_2.raw"	2016-03-08T21:37:53Z	0.126984	24.6322	28.1822	34.8017	0.208408	0.3401	0.939956	1079.6	0.164289	0.279038	0.185499	0.371175	0.578221	0.200344	0.0878785	0.133557	0.367147	0.322146	0.18301	0.127697	0.877235	0.730611	2.45796	0.923196	1.69847	1.80509	2373	6.43144	209	467	676	1512	3.21036	6	14.5	47	0.992725	0.00661376	0.000661376	0	0	0	0	0
"Liver_3.raw"	2016-03-08T22:01:02Z	0.135974	27.5136	32.9501	38.0904	0.318113	0.360677	0.814064	1079.61	0.177098	0.270458	0.18033	0.372114	0.57457	0.203015	0.0890806	0.133335	0.3661	0.322983	0.180275	0.130641	0.894779	0.660777	2.58677	0.968845	1.69154	1.70461	2358	6.3615	222	504.5	678	1515	3.2294	7	14	49	0.987459	0.0125413	0	0	0	0	0	0
"Liver_4.raw"	2016-03-08T22:47:19Z	0.140741	28.4201	31.1011	33.9234	0.34634	0.335925	1.04268	1079.76	0.178257	0.265335	0.183296	0.373111	0.590896	0.18865	0.0884952	0.131959	0.360675	0.325216	0.181826	0.132284	0.842759	0.712345	2.80512	0.834134	1.79839	1.73427	2420	6.52573	212	459	672	1485	3.2778	7	14	46	0.991919	0.00808081	0	0	0	0	0	0
"Liver_5.raw"	2016-03-08T23:10:28Z	0.128793	28.6435	30.9571	37.4959	1.12357	0.157085	0.990978	1079.85	0.177855	0.268456	0.183309	0.370379	0.584039	0.193693	0.0909544	0.131314	0.358859	0.325693	0.178319	0.137129	0.911133	0.69155	2.68469	0.804063	1.78081	1.69512	2389	6.30674	207	455	674	1483	3.23016	7	14	48	0.993257	0.00674309	0	0	0	0	0	0
"Lung_1.raw"	2016-03-09T00:19:53Z	0.0998623	35.2572	42.055	64.2763	0.516729	0.238853	1.28819	1079.82	0.0554475	0.28981	0.229095	0.425648	0.58377	0.195462	0.0863888	0.13438	0.350087	0.330031	0.194231	0.125651	0.882393	0.686485	4.70498	0.860789	2.04654	3.14315	2419	6.63187	213	478	672	1452	3.20788	7	16	43	0.993113	0.00688705	0	0	0	0	0	0
"Lung_10.raw"	2018-03-23T02:14:29Z	0.278978	8.66072	9.98161	11.7646	1.13986	1.30952	4.75272	1799.76	0.742452	0.0703683	0.0932717	0.0939084	0.530163	0.257591	0.105971	0.106275	0.18913	0.186794	0.286083	0.337993	1.31729	0.985137	3.00032	1.00334	0.176589	2.27869	6193	8.19631	856	1287	1360	2778	2.94941	4	14	30	0	0	0	0	0	0	0.87869	0.12131
"Lung_12.raw"	2018-03-23T01:06:14Z	0.274689	8.64324	10.1477	11.5911	1.06635	1.55554	3.89946	1799.81	0.750537	0.0669122	0.0902082	0.0923424	0.531752	0.256267	0.105835	0.106146	0.190407	0.185296	0.272815	0.351482	1.30536	1.00883	3.45772	1.02965	0.17381	2.14619	6195	8.19847	921.5	1293	1364	2734	2.90839	3	13	27	0	0	0	0	0	0	0.878566	0.121434
"Lung_13.raw"	2018-03-22T23:23:50Z	0.274141	8.45408	9.86624	11.5907	1.14337	1.35112	4.38826	1799.73	0.749505	0.0664089	0.0919664	0.0921192	0.531156	0.256647	0.105961	0.106236	0.192395	0.187975	0.281131	0.338499	1.17507	1.03977	3.53077	0.973838	0.161448	2.21348	6183	8.19043	955.5	1300	1373	2765	2.92471	3	13	27	0	0	0	0	0	0	0.874503	0.125497
